column_name,data_type,max_length,is_nullable,column_id
Customer,nvarchar,900,True,1
Purchase_Date,nvarchar,900,True,2
Expires,nvarchar,900,True,3
Product,nvarchar,900,True,4
Number_Of_Seats,bigint,8,True,5
Serial_Number,nvarchar,900,True,6
Status,nvarchar,900,True,7
User_Name,nvarchar,900,True,8
Var,nvarchar,900,True,9
internalid,nvarchar,900,False,10
isinactive,bit,1,True,11
Number_Seats_GO,bigint,8,True,12
Product_Internal_ID,bigint,8,True,13
DSx_License_Number,nvarchar,900,True,14
IsRenewable,bit,1,True,15
Customer_Internal_Id,nvarchar,900,True,16
item_rollup,nvarchar,900,True,17
