order_id,item_key,product_key,item_rollup,line_amount,tran_date
11780439,103,103,Unidentified,1295.0,2025-10-10 06:00:00
11778501,1257,1257,SWX Core,1311.24,2025-10-10 06:00:00
11776068,1257,1257,SWX Core,5244.96,2025-10-10 06:00:00
11780812,35639,,,505.0,2025-10-10 06:00:00
11779674,112159,112159,SWX Pro Prem,3192.0,2025-10-10 06:00:00
11780596,35639,,,1328.0,2025-10-10 06:00:00
11776066,35639,,,374.0,2025-10-10 06:00:00
11776060,35639,,,2211.0,2025-10-10 06:00:00
11780449,5829,5829,SWX Core,11043.75,2025-10-10 06:00:00
11777451,35639,,,1160.0,2025-10-10 06:00:00
11779340,35640,35640,Misc Seats,77.7,2025-10-10 06:00:00
11779553,35640,35640,Misc Seats,622.07,2025-10-10 06:00:00
11780469,35640,35640,Misc Seats,4704.0,2025-10-10 06:00:00
11781268,35639,,,698.0,2025-10-10 06:00:00
11779695,103,103,Unidentified,1295.0,2025-10-10 06:00:00
11778787,103,103,Unidentified,1295.0,2025-10-10 06:00:00
11779343,1257,1257,SWX Core,12152.97,2025-10-10 06:00:00
11781132,35639,,,660.0,2025-10-10 06:00:00
11776506,35639,,,1445.0,2025-10-10 06:00:00
11779285,5829,5829,SWX Core,2325.0,2025-10-10 06:00:00
11776524,35640,35640,Misc Seats,455.0,2025-10-10 06:00:00
11778814,35640,35640,Misc Seats,648.0,2025-10-10 06:00:00
11780467,103,103,Unidentified,1295.0,2025-10-10 06:00:00
11779828,112159,112159,SWX Pro Prem,2128.0,2025-10-10 06:00:00
11778139,35640,35640,Misc Seats,1602.0,2025-10-10 06:00:00
11779677,35640,35640,Misc Seats,1390.0,2025-10-10 06:00:00
11778937,1257,1257,SWX Core,17046.12,2025-10-10 06:00:00
11776075,35640,35640,Misc Seats,864.0,2025-10-10 06:00:00
11781268,103,103,Unidentified,1295.0,2025-10-10 06:00:00
11779936,47003,,,2848.1,2025-10-10 06:00:00
11778937,525,525,Unidentified,6862.36,2025-10-10 06:00:00
11779968,16528,,,545.0,2025-10-10 06:00:00
11777680,34583,,,14403.62,2025-10-10 06:00:00
11778937,34583,,,4534.0,2025-10-10 06:00:00
11780469,66,66,SWX Pro Prem,16890.72,2025-10-10 06:00:00
11780469,34642,,,53271.68,2025-10-10 06:00:00
11778763,9909,9909,SWX Pro Prem,6272.0,2025-10-10 06:00:00
11777659,9909,9909,SWX Pro Prem,7840.0,2025-10-10 06:00:00
11780430,5588,5588,Unidentified,1854.0,2025-10-10 06:00:00
11779677,34642,,,17296.0,2025-10-10 06:00:00
11779285,7954,7954,Unidentified,660.0,2025-10-10 06:00:00
11781139,7954,7954,Unidentified,462.0,2025-10-10 06:00:00
11778501,1805,1805,SWX Core,1317.58,2025-10-10 06:00:00
11781126,7954,7954,Unidentified,660.0,2025-10-10 06:00:00
11779961,110487,110487,SWX Pro Prem,680.72,2025-10-10 06:00:00
11779317,7955,7955,Unidentified,330.0,2025-10-10 06:00:00
11779340,34623,34623,SWX Pro Prem,311.1,2025-10-10 06:00:00
11781024,32316,,,221.99,2025-10-10 06:00:00
11779167,5162,5162,SWX Core,497.5,2025-10-10 06:00:00
11779281,102999,,,34679.83,2025-10-10 06:00:00
